ID_Post,User_Name,Comments,Sentiments,Date_Comment
POST_O_001,User_4762,الإنترنت بطيء جدا، لا استطيع العمل,Négatif,2025-09-13 20:47:03
POST_O_001,User_9235,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-09-14 07:47:03
POST_O_001,User_1856,ممتاز! الخدمة جيدة والشبكة مستقرة,Positif,2025-09-13 07:47:03
POST_O_001,User_8328,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-09-14 20:47:03
POST_O_001,User_3416,"Les nouvelles offres sont intéressantes, bon rapport qualité-prix",Positif,2025-09-14 21:47:03
POST_O_001,User_5753,"Je suis satisfait de la qualité du service, bon travail!",Positif,2025-09-13 04:47:03
POST_O_001,User_5417,Excellent service! Réseau stable et débit correct 👍,Neutre,2025-09-13 19:47:03
POST_O_001,User_5518,الإنترنت بطيء جدا، لا استطيع العمل,Négatif,2025-09-13 03:47:03
POST_O_001,User_7131,شكرا على التحسينات في الشبكة,Positif,2025-09-14 12:47:03
POST_O_001,User_7493,"Service client injoignable, j'attends depuis 30 minutes 😠",Neutre,2025-09-14 06:47:03
POST_O_001,User_1954,كيف أشترك في العرض الجديد؟,Neutre,2025-09-14 01:47:03
POST_O_001,User_4216,"Facturation excessive, on me facture des services non souscrits",Neutre,2025-09-14 08:47:03
POST_O_001,User_6775,Quelles sont les zones couvertes par la 4G+ dans la wilaya de Blida?,Neutre,2025-09-13 14:47:03
POST_O_001,User_1651,ممتاز! الخدمة جيدة والشبكة مستقرة,Positif,2025-09-13 23:47:03
POST_O_001,User_1875,ما هي أوقات خدمة العملاء؟,Neutre,2025-09-14 19:47:03
POST_O_001,User_9019,"Facturation excessive, on me facture des services non souscrits",Neutre,2025-09-13 01:47:03
POST_O_001,User_7535,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-09-13 03:47:03
POST_O_001,User_8248,Comment souscrire à l'offre Ramadan?,Neutre,2025-09-14 05:47:03
POST_O_001,User_7135,"Réseau très lent depuis 3 jours, inacceptable pour le prix payé!",Négatif,2025-09-13 08:47:03
POST_O_001,User_9697,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-09-13 13:47:03
POST_O_001,User_7878,الإنترنت بطيء جدا، لا استطيع العمل,Négatif,2025-09-13 06:47:03
POST_O_001,User_9352,شكرا على التحسينات في الشبكة,Positif,2025-09-14 21:47:03
POST_M_002,User_6390,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-09-26 19:47:03
POST_M_002,User_9981,"Réseau très lent depuis 3 jours, inacceptable pour le prix payé!",Négatif,2025-09-25 10:47:03
POST_M_002,User_6159,Comment souscrire à l'offre Ramadan?,Neutre,2025-09-25 17:47:03
POST_M_002,User_8450,"Service client très professionnel, problème résolu en 10min",Négatif,2025-09-25 21:47:03
POST_M_002,User_3480,شكرا على التحسينات في الشبكة,Positif,2025-09-25 19:47:03
POST_M_002,User_2698,الإنترنت بطيء جدا، لا استطيع العمل,Négatif,2025-09-25 22:47:03
POST_M_002,User_5950,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-09-25 01:47:03
POST_D_003,User_8966,"Facturation excessive, on me facture des services non souscrits",Neutre,2025-09-12 00:47:03
POST_D_003,User_4260,Comment souscrire à l'offre Ramadan?,Neutre,2025-09-11 07:47:03
POST_D_003,User_9217,شكرا على التحسينات في الشبكة,Positif,2025-09-12 15:47:03
POST_D_003,User_1591,"Facturation excessive, on me facture des services non souscrits",Neutre,2025-09-12 16:47:03
POST_D_003,User_5430,"Réseau très lent depuis 3 jours, inacceptable pour le prix payé!",Négatif,2025-09-12 05:47:03
POST_D_003,User_9981,Comment souscrire à l'offre Ramadan?,Neutre,2025-09-10 23:47:03
POST_D_003,User_3270,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-09-11 12:47:03
POST_D_003,User_1702,"Service client injoignable, j'attends depuis 30 minutes 😠",Neutre,2025-09-11 00:47:03
POST_O_004,User_8283,"Les nouvelles offres sont intéressantes, bon rapport qualité-prix",Positif,2025-11-22 02:47:03
POST_O_004,User_4898,"Service client injoignable, j'attends depuis 30 minutes 😠",Neutre,2025-11-23 00:47:03
POST_O_004,User_1373,الإنترنت بطيء جدا، لا استطيع العمل,Négatif,2025-11-23 12:47:03
POST_O_004,User_8934,ما هي أوقات خدمة العملاء؟,Neutre,2025-11-23 09:47:03
POST_O_004,User_2099,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-11-22 02:47:03
POST_O_004,User_4444,شكرا على التحسينات في الشبكة,Positif,2025-11-23 20:47:03
POST_O_004,User_3924,Excellent service! Réseau stable et débit correct 👍,Neutre,2025-11-23 12:47:03
POST_O_004,User_8993,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-11-23 14:47:03
POST_O_004,User_6484,Quelles sont les zones couvertes par la 4G+ dans la wilaya de Blida?,Neutre,2025-11-23 10:47:03
POST_O_004,User_8804,"Réseau très lent depuis 3 jours, inacceptable pour le prix payé!",Négatif,2025-11-23 13:47:03
POST_O_004,User_7794,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-11-22 08:47:03
POST_O_004,User_9252,"Réseau très lent depuis 3 jours, inacceptable pour le prix payé!",Négatif,2025-11-22 12:47:03
POST_O_004,User_3859,Comment souscrire à l'offre Ramadan?,Neutre,2025-11-23 08:47:03
POST_O_004,User_2254,الإنترنت بطيء جدا، لا استطيع العمل,Négatif,2025-11-22 20:47:03
POST_O_004,User_4885,"Réseau très lent depuis 3 jours, inacceptable pour le prix payé!",Négatif,2025-11-23 07:47:03
POST_O_004,User_6452,Quelles sont les zones couvertes par la 4G+ dans la wilaya de Blida?,Neutre,2025-11-23 15:47:03
POST_O_005,User_6066,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-09-18 04:47:03
POST_O_005,User_6758,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-09-19 06:47:03
POST_O_005,User_5282,ما هي أوقات خدمة العملاء؟,Neutre,2025-09-19 01:47:03
POST_O_005,User_2900,Comment souscrire à l'offre Ramadan?,Neutre,2025-09-18 16:47:03
POST_O_005,User_4368,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-09-19 10:47:03
POST_O_005,User_8718,Est-ce que les anciens clients peuvent bénéficier des nouvelles promotions?,Neutre,2025-09-19 03:47:03
POST_O_006,User_3056,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-12-02 01:47:03
POST_O_006,User_9636,"Pas de signal dans mon immeuble, quand est-ce que ça va être réparé?",Neutre,2025-12-01 21:47:03
POST_O_006,User_2912,"Service client injoignable, j'attends depuis 30 minutes 😠",Neutre,2025-12-01 03:47:03
POST_O_006,User_3033,"Je suis satisfait de la qualité du service, bon travail!",Positif,2025-12-01 04:47:03
POST_O_006,User_2220,"Service client injoignable, j'attends depuis 30 minutes 😠",Neutre,2025-12-02 12:47:03
POST_O_006,User_9326,"Réseau très lent depuis 3 jours, inacceptable pour le prix payé!",Négatif,2025-11-30 23:47:03
POST_O_006,User_8792,Comment souscrire à l'offre Ramadan?,Neutre,2025-12-01 23:47:03
POST_O_006,User_5605,"Service client très professionnel, problème résolu en 10min",Négatif,2025-12-02 10:47:03
POST_O_006,User_5464,خدمة العملاء سيئة، لا يردون على الهاتف,Négatif,2025-12-02 13:47:03
